[IFU] {PC: 80000000, Inst: 00000413, Cycle: 13}
[IFU] {PC: 80000004, Inst: 00009117, Cycle: 13}
[IFU] {PC: 80000008, Inst: ffc10113, Cycle: 13}
[IFU] {PC: 8000000c, Inst: 0c0000ef, Cycle: 13}
[IFU] {PC: 800000cc, Inst: ff410113, Cycle: 27}
[IFU] {PC: 800000d0, Inst: 00000517, Cycle: 13}
[IFU] {PC: 800000d4, Inst: 0d050513, Cycle: 13}
[IFU] {PC: 800000d8, Inst: 00112423, Cycle: 13}
[IFU] {PC: 800000dc, Inst: f4dff0ef, Cycle: 13}
[IFU] {PC: 80000028, Inst: ff010113, Cycle: 28}
[IFU] {PC: 8000002c, Inst: 00912223, Cycle: 9}
[IFU] {PC: 80000030, Inst: 00112623, Cycle: 10}
[IFU] {PC: 80000034, Inst: 00812423, Cycle: 29}
[IFU] {PC: 80000038, Inst: 00012023, Cycle: 24}
[IFU] {PC: 8000003c, Inst: 06500493, Cycle: 17}
[IFU] {PC: 80000040, Inst: 00200413, Cycle: 30}
[IFU] {PC: 80000044, Inst: 00c0006f, Cycle: 13}
[IFU] {PC: 80000050, Inst: 00140413, Cycle: 27}
[IFU] {PC: 80000054, Inst: 00048513, Cycle: 13}
[IFU] {PC: 80000058, Inst: 00040593, Cycle: 13}
[IFU] {PC: 8000005c, Inst: fe9416e3, Cycle: 13}
[IFU] {PC: 80000048, Inst: 128000ef, Cycle: 27}
[IFU] {PC: 80000170, Inst: 00008293, Cycle: 27}
[IFU] {PC: 80000174, Inst: 0005ca63, Cycle: 13}
[IFU] {PC: 80000178, Inst: 00054c63, Cycle: 13}
[IFU] {PC: 8000017c, Inst: f79ff0ef, Cycle: 13}
[IFU] {PC: 800000f4, Inst: 00058613, Cycle: 27}
[IFU] {PC: 800000f8, Inst: 00050593, Cycle: 13}
[IFU] {PC: 800000fc, Inst: fff00513, Cycle: 13}
[IFU] {PC: 80000100, Inst: 02060c63, Cycle: 13}
[IFU] {PC: 80000104, Inst: 00100693, Cycle: 13}
[IFU] {PC: 80000108, Inst: 00b67a63, Cycle: 13}
[IFU] {PC: 8000010c, Inst: 00c05863, Cycle: 13}
[IFU] {PC: 80000110, Inst: 00161613, Cycle: 13}
[IFU] {PC: 80000114, Inst: 00169693, Cycle: 13}
[IFU] {PC: 80000118, Inst: feb66ae3, Cycle: 13}
[IFU] {PC: 8000010c, Inst: 00c05863, Cycle: 27}
[IFU] {PC: 80000110, Inst: 00161613, Cycle: 13}
[IFU] {PC: 80000114, Inst: 00169693, Cycle: 13}
[IFU] {PC: 80000118, Inst: feb66ae3, Cycle: 13}
[IFU] {PC: 8000010c, Inst: 00c05863, Cycle: 27}
[IFU] {PC: 80000110, Inst: 00161613, Cycle: 13}
[IFU] {PC: 80000114, Inst: 00169693, Cycle: 13}
[IFU] {PC: 80000118, Inst: feb66ae3, Cycle: 13}
[IFU] {PC: 8000010c, Inst: 00c05863, Cycle: 27}
[IFU] {PC: 80000110, Inst: 00161613, Cycle: 13}
[IFU] {PC: 80000114, Inst: 00169693, Cycle: 13}
[IFU] {PC: 80000118, Inst: feb66ae3, Cycle: 13}
[IFU] {PC: 8000010c, Inst: 00c05863, Cycle: 27}
[IFU] {PC: 80000110, Inst: 00161613, Cycle: 13}
[IFU] {PC: 80000114, Inst: 00169693, Cycle: 13}
[IFU] {PC: 80000118, Inst: feb66ae3, Cycle: 13}
[IFU] {PC: 8000010c, Inst: 00c05863, Cycle: 27}
[IFU] {PC: 80000110, Inst: 00161613, Cycle: 13}
[IFU] {PC: 80000114, Inst: 00169693, Cycle: 13}
[IFU] {PC: 80000118, Inst: feb66ae3, Cycle: 13}
[IFU] {PC: 8000011c, Inst: 00000513, Cycle: 13}
[IFU] {PC: 80000120, Inst: 00c5e663, Cycle: 13}
[IFU] {PC: 8000012c, Inst: 0016d693, Cycle: 27}
[IFU] {PC: 80000130, Inst: 00165613, Cycle: 13}
[IFU] {PC: 80000134, Inst: fe0696e3, Cycle: 13}
[IFU] {PC: 80000120, Inst: 00c5e663, Cycle: 27}
[IFU] {PC: 80000124, Inst: 40c585b3, Cycle: 13}
[IFU] {PC: 80000128, Inst: 00d56533, Cycle: 13}
[IFU] {PC: 8000012c, Inst: 0016d693, Cycle: 13}
[IFU] {PC: 80000130, Inst: 00165613, Cycle: 13}
[IFU] {PC: 80000134, Inst: fe0696e3, Cycle: 13}
[IFU] {PC: 80000120, Inst: 00c5e663, Cycle: 27}
[IFU] {PC: 8000012c, Inst: 0016d693, Cycle: 27}
[IFU] {PC: 80000130, Inst: 00165613, Cycle: 13}
[IFU] {PC: 80000134, Inst: fe0696e3, Cycle: 13}
[IFU] {PC: 80000120, Inst: 00c5e663, Cycle: 27}
[IFU] {PC: 8000012c, Inst: 0016d693, Cycle: 27}
[IFU] {PC: 80000130, Inst: 00165613, Cycle: 13}
[IFU] {PC: 80000134, Inst: fe0696e3, Cycle: 13}
[IFU] {PC: 80000120, Inst: 00c5e663, Cycle: 27}
[IFU] {PC: 8000012c, Inst: 0016d693, Cycle: 27}
[IFU] {PC: 80000130, Inst: 00165613, Cycle: 13}
[IFU] {PC: 80000134, Inst: fe0696e3, Cycle: 13}
[IFU] {PC: 80000120, Inst: 00c5e663, Cycle: 27}
