[STORE] ADDR: 80008ffc	 DATA: 80000010	 STRB: 1111	 CYCLE:   21	
[STORE] ADDR: 80008fec	 DATA: 00000000	 STRB: 1111	 CYCLE:   23	
[STORE] ADDR: 80008fe8	 DATA: 00000000	 STRB: 1111	 CYCLE:   24	
[STORE] ADDR: 80008ff0	 DATA: 800000ec	 STRB: 1111	 CYCLE:   22	
[LOAD ] ADDR: 800000fc	 DATA: 03020100	 CYCLE:   18	
[LOAD ] ADDR: 800000fd	 DATA: 03020100	 CYCLE:   18	
[LOAD ] ADDR: 800000fe	 DATA: 03020100	 CYCLE:   18	
[LOAD ] ADDR: 800000ff	 DATA: 03020100	 CYCLE:   18	
[LOAD ] ADDR: 80000100	 DATA: 07060504	 CYCLE:   18	
[LOAD ] ADDR: 80000101	 DATA: 07060504	 CYCLE:   18	
[LOAD ] ADDR: 80000102	 DATA: 07060504	 CYCLE:   18	
[LOAD ] ADDR: 80000103	 DATA: 07060504	 CYCLE:   18	
[LOAD ] ADDR: 80000104	 DATA: 0b0a0908	 CYCLE:   18	
[LOAD ] ADDR: 80000105	 DATA: 0b0a0908	 CYCLE:   18	
[LOAD ] ADDR: 80000106	 DATA: 0b0a0908	 CYCLE:   18	
[LOAD ] ADDR: 80000107	 DATA: 0b0a0908	 CYCLE:   18	
[LOAD ] ADDR: 80000108	 DATA: 0f0e0d0c	 CYCLE:   18	
[LOAD ] ADDR: 80000109	 DATA: 0f0e0d0c	 CYCLE:   18	
[LOAD ] ADDR: 8000010a	 DATA: 0f0e0d0c	 CYCLE:   18	
[LOAD ] ADDR: 8000010b	 DATA: 0f0e0d0c	 CYCLE:   18	
[LOAD ] ADDR: 8000010c	 DATA: 13121110	 CYCLE:   18	
[LOAD ] ADDR: 8000010d	 DATA: 13121110	 CYCLE:   18	
[LOAD ] ADDR: 8000010e	 DATA: 13121110	 CYCLE:   18	
[LOAD ] ADDR: 8000010f	 DATA: 13121110	 CYCLE:   18	
[LOAD ] ADDR: 80000110	 DATA: 17161514	 CYCLE:   18	
[LOAD ] ADDR: 80000111	 DATA: 17161514	 CYCLE:   18	
[LOAD ] ADDR: 80000112	 DATA: 17161514	 CYCLE:   18	
[LOAD ] ADDR: 80000113	 DATA: 17161514	 CYCLE:   18	
[LOAD ] ADDR: 80000114	 DATA: 1b1a1918	 CYCLE:   18	
[LOAD ] ADDR: 80000115	 DATA: 1b1a1918	 CYCLE:   18	
[LOAD ] ADDR: 80000116	 DATA: 1b1a1918	 CYCLE:   18	
[LOAD ] ADDR: 80000117	 DATA: 1b1a1918	 CYCLE:   18	
[LOAD ] ADDR: 80000118	 DATA: 1f1e1d1c	 CYCLE:   18	
[LOAD ] ADDR: 80000119	 DATA: 1f1e1d1c	 CYCLE:   18	
[LOAD ] ADDR: 8000011a	 DATA: 1f1e1d1c	 CYCLE:   18	
[LOAD ] ADDR: 8000011b	 DATA: 1f1e1d1c	 CYCLE:   18	
[LOAD ] ADDR: 8000011c	 DATA: 23222120	 CYCLE:   18	
[LOAD ] ADDR: 8000011d	 DATA: 23222120	 CYCLE:   18	
[LOAD ] ADDR: 8000011e	 DATA: 23222120	 CYCLE:   18	
[LOAD ] ADDR: 8000011f	 DATA: 23222120	 CYCLE:   18	
[LOAD ] ADDR: 80000120	 DATA: 27262524	 CYCLE:   18	
[LOAD ] ADDR: 80000121	 DATA: 27262524	 CYCLE:   18	
[LOAD ] ADDR: 80000122	 DATA: 27262524	 CYCLE:   18	
[LOAD ] ADDR: 80000123	 DATA: 27262524	 CYCLE:   18	
[LOAD ] ADDR: 80000124	 DATA: 2b2a2928	 CYCLE:   18	
[LOAD ] ADDR: 80000125	 DATA: 2b2a2928	 CYCLE:   18	
[LOAD ] ADDR: 80000126	 DATA: 2b2a2928	 CYCLE:   18	
[LOAD ] ADDR: 80000127	 DATA: 2b2a2928	 CYCLE:   18	
[LOAD ] ADDR: 80000128	 DATA: 2f2e2d2c	 CYCLE:   18	
[LOAD ] ADDR: 80000129	 DATA: 2f2e2d2c	 CYCLE:   18	
[LOAD ] ADDR: 8000012a	 DATA: 2f2e2d2c	 CYCLE:   18	
[LOAD ] ADDR: 8000012b	 DATA: 2f2e2d2c	 CYCLE:   18	
[LOAD ] ADDR: 8000012c	 DATA: 33323130	 CYCLE:   18	
[LOAD ] ADDR: 8000012d	 DATA: 33323130	 CYCLE:   18	
[LOAD ] ADDR: 8000012e	 DATA: 33323130	 CYCLE:   18	
[LOAD ] ADDR: 8000012f	 DATA: 33323130	 CYCLE:   18	
[LOAD ] ADDR: 80000130	 DATA: 37363534	 CYCLE:   18	
[LOAD ] ADDR: 80000131	 DATA: 37363534	 CYCLE:   18	
[LOAD ] ADDR: 80000132	 DATA: 37363534	 CYCLE:   18	
[LOAD ] ADDR: 80000133	 DATA: 37363534	 CYCLE:   18	
[LOAD ] ADDR: 80000134	 DATA: 3b3a3938	 CYCLE:   18	
[LOAD ] ADDR: 80000135	 DATA: 3b3a3938	 CYCLE:   18	
[LOAD ] ADDR: 80000136	 DATA: 3b3a3938	 CYCLE:   18	
[LOAD ] ADDR: 80000137	 DATA: 3b3a3938	 CYCLE:   18	
[LOAD ] ADDR: 80000138	 DATA: 3f3e3d3c	 CYCLE:   18	
[LOAD ] ADDR: 80000139	 DATA: 3f3e3d3c	 CYCLE:   18	
[LOAD ] ADDR: 8000013a	 DATA: 3f3e3d3c	 CYCLE:   18	
[LOAD ] ADDR: 8000013b	 DATA: 3f3e3d3c	 CYCLE:   18	
[LOAD ] ADDR: 8000013c	 DATA: 63626140	 CYCLE:   18	
[LOAD ] ADDR: 8000013d	 DATA: 63626140	 CYCLE:   18	
[LOAD ] ADDR: 8000013e	 DATA: 63626140	 CYCLE:   18	
[LOAD ] ADDR: 8000013f	 DATA: 63626140	 CYCLE:   18	
[LOAD ] ADDR: 80000140	 DATA: 67666564	 CYCLE:   18	
[LOAD ] ADDR: 80000141	 DATA: 67666564	 CYCLE:   18	
[LOAD ] ADDR: 80000142	 DATA: 67666564	 CYCLE:   18	
[LOAD ] ADDR: 80000143	 DATA: 67666564	 CYCLE:   18	
[LOAD ] ADDR: 80000144	 DATA: 6b6a6968	 CYCLE:   18	
[LOAD ] ADDR: 80000145	 DATA: 6b6a6968	 CYCLE:   18	
[LOAD ] ADDR: 80000146	 DATA: 6b6a6968	 CYCLE:   18	
[LOAD ] ADDR: 80000147	 DATA: 6b6a6968	 CYCLE:   18	
[LOAD ] ADDR: 80000148	 DATA: 6f6e6d6c	 CYCLE:   18	
[LOAD ] ADDR: 80000149	 DATA: 6f6e6d6c	 CYCLE:   18	
[LOAD ] ADDR: 8000014a	 DATA: 6f6e6d6c	 CYCLE:   18	
[LOAD ] ADDR: 8000014b	 DATA: 6f6e6d6c	 CYCLE:   18	
[LOAD ] ADDR: 8000014c	 DATA: 73727170	 CYCLE:   18	
